commits,complexity,file,score
7,1421,"buildSrc/src/main/java/org/elasticsearch/gradle/dependencies/CompileOnlyResolvePlugin.java",0.0
7,1360,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/BwcGitExtension.java",0.0
16,6291,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/BwcSetupExtension.java",0.1
9,1739,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/DistributionArchive.java",0.0
5,732,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/DistributionArchiveCheckExtension.java",0.0
3,10216,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/ElasticsearchTestBasePlugin.java",0.0
8,1322,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/InternalAvailableTcpPortProviderPlugin.java",0.0
12,10189,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/InternalBwcGitPlugin.java",0.1
16,10735,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/InternalDistributionArchiveCheckPlugin.java",0.1
15,7337,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/InternalDistributionArchiveSetupPlugin.java",0.1
27,14731,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/InternalDistributionBwcSetupPlugin.java",0.3
26,8758,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/InternalDistributionDownloadPlugin.java",0.1
5,665,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/InternalPlugin.java",0.0
4,1257,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/InternalTestArtifactPlugin.java",0.0
6,5083,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/CheckstylePrecommitPlugin.java",0.0
3,2109,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/DependencyLicensesPrecommitPlugin.java",0.0
8,13981,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/DependencyLicensesTask.java",0.1
6,1742,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/FilePermissionsPrecommitPlugin.java",0.0
5,4035,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/FilePermissionsTask.java",0.0
8,5924,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/ForbiddenApisPrecommitPlugin.java",0.0
6,1776,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/ForbiddenPatternsPrecommitPlugin.java",0.0
5,7007,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/ForbiddenPatternsTask.java",0.0
6,2997,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/InternalPrecommitTasks.java",0.0
5,1767,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/LicenseHeadersPrecommitPlugin.java",0.0
8,10684,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/LicenseHeadersTask.java",0.1
4,1490,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/LoggerUsagePrecommitPlugin.java",0.0
6,2750,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/LoggerUsageTask.java",0.0
3,2410,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/TestingConventionRule.java",0.0
3,1451,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/TestingConventionsPrecommitPlugin.java",0.0
5,18035,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/TestingConventionsTasks.java",0.1
3,2661,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/UpdateShasTask.java",0.0
5,5200,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/ValidateJsonAgainstSchemaTask.java",0.0
5,7785,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/ValidateJsonNoKeywordsTask.java",0.0
5,2602,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/precommit/ValidateRestSpecPlugin.java",0.0
13,13415,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/rest/compat/RestCompatTestTransformTask.java",0.1
10,11819,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/rest/compat/YamlRestCompatTestPlugin.java",0.1
3,2121,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/test/RestTestPlugin.java",0.0
7,4748,"buildSrc/src/main/java/org/elasticsearch/gradle/internal/test/rerun/executer/RerunTestResultProcessor.java",0.0
8,12843,"buildSrc/src/main/java/org/elasticsearch/gradle/plugin/PluginBuildPlugin.java",0.1
9,4102,"buildSrc/src/main/java/org/elasticsearch/gradle/plugin/PluginPropertiesExtension.java",0.0
5,766,"buildSrc/src/main/java/org/elasticsearch/gradle/plugin/PluginType.java",0.0
17,1254,"buildSrc/src/main/java/org/elasticsearch/gradle/precommit/JarHellPrecommitPlugin.java",0.0
19,2169,"buildSrc/src/main/java/org/elasticsearch/gradle/precommit/JarHellTask.java",0.0
15,1495,"buildSrc/src/main/java/org/elasticsearch/gradle/precommit/PrecommitPlugin.java",0.0
12,1212,"buildSrc/src/main/java/org/elasticsearch/gradle/precommit/PrecommitTask.java",0.0
9,1755,"buildSrc/src/main/java/org/elasticsearch/gradle/precommit/PrecommitTaskPlugin.java",0.0
3,774,"buildSrc/src/main/java/org/elasticsearch/gradle/precommit/PrecommitTasks.java",0.0
9,765,"buildSrc/src/main/java/org/elasticsearch/gradle/testclusters/DefaultTestClustersTask.java",0.0
90,17698,"buildSrc/src/main/java/org/elasticsearch/gradle/testclusters/ElasticsearchCluster.java",1.0
240,64925,"buildSrc/src/main/java/org/elasticsearch/gradle/testclusters/ElasticsearchNode.java",9.9
42,7361,"buildSrc/src/main/java/org/elasticsearch/gradle/testclusters/RunTask.java",0.2
10,4116,"buildSrc/src/main/java/org/elasticsearch/gradle/testclusters/StandaloneRestIntegTestTask.java",0.0
48,5821,"buildSrc/src/main/java/org/elasticsearch/gradle/testclusters/TestClusterConfiguration.java",0.2
32,1391,"buildSrc/src/main/java/org/elasticsearch/gradle/testclusters/TestClustersAware.java",0.0
3,706,"buildSrc/src/main/java/org/elasticsearch/gradle/testclusters/TestClustersException.java",0.0
94,9440,"buildSrc/src/main/java/org/elasticsearch/gradle/testclusters/TestClustersPlugin.java",0.6
17,3150,"buildSrc/src/main/java/org/elasticsearch/gradle/testclusters/TestClustersRegistry.java",0.0
10,602,"buildSrc/src/main/java/org/elasticsearch/gradle/testclusters/TestClustersThrottle.java",0.0
4,546,"buildSrc/src/main/java/org/elasticsearch/gradle/testclusters/TestDistribution.java",0.0
24,3015,"buildSrc/src/main/java/org/elasticsearch/gradle/transform/SymbolicLinkPreservingUntarTransform.java",0.0
22,5187,"buildSrc/src/main/java/org/elasticsearch/gradle/transform/UnpackTransform.java",0.1
20,2376,"buildSrc/src/main/java/org/elasticsearch/gradle/transform/UnzipTransform.java",0.0
43,10668,"buildSrc/src/main/java/org/elasticsearch/gradle/util/GradleUtils.java",0.3
3,780,"buildSrc/src/main/java/org/elasticsearch/gradle/util/Pair.java",0.0
9,2002,"buildSrc/src/main/java/org/elasticsearch/gradle/util/PermissionUtils.java",0.0
3,103905,"buildSrc/src/main/resources/cacerts.bcfks",0.0
13,1724,"buildSrc/src/main/resources/eclipse.settings/org.eclipse.jdt.core.prefs",0.0
6,4975,"buildSrc/src/main/resources/eclipse.settings/org.eclipse.jdt.ui.prefs",0.0
3,1101,"buildSrc/src/main/resources/fips_java.policy",0.0
7,2172,"buildSrc/src/main/resources/fips_java.security",0.0
3,2203,"buildSrc/src/main/resources/fips_java_oracle.security",0.0
24,4063,"buildSrc/src/main/resources/forbidden/es-all-signatures.txt",0.1
19,7806,"buildSrc/src/main/resources/forbidden/es-server-signatures.txt",0.1
10,1228,"buildSrc/src/main/resources/forbidden/es-test-signatures.txt",0.0
11,2150,"buildSrc/src/main/resources/forbidden/http-signatures.txt",0.0
11,4966,"buildSrc/src/main/resources/forbidden/jdk-signatures.txt",0.0
3,392,"buildSrc/src/main/resources/forbidden/snakeyaml-signatures.txt",0.0
4,3113,"buildSrc/src/main/resources/forbidden/third-party-audit.txt",0.0
3,354,"buildSrc/src/main/resources/license-headers/sspl+elastic-license-header.txt",0.0
23,2063,"buildSrc/src/main/resources/plugin-descriptor.properties",0.0
4,927,"buildSrc/src/main/resources/test/ssl/test-client.crt",0.0
4,3673,"buildSrc/src/main/resources/test/ssl/test-client.jks",0.0
4,927,"buildSrc/src/main/resources/test/ssl/test-node.crt",0.0
4,3669,"buildSrc/src/main/resources/test/ssl/test-node.jks",0.0
26,6662,"buildSrc/src/test/java/org/elasticsearch/gradle/DistributionDownloadPluginTests.java",0.1
18,4576,"buildSrc/src/test/java/org/elasticsearch/gradle/VersionTests.java",0.1
8,12723,"buildSrc/src/test/java/org/elasticsearch/gradle/internal/precommit/DependencyLicensesTaskTests.java",0.1
5,3948,"buildSrc/src/test/java/org/elasticsearch/gradle/internal/precommit/FilePermissionsTaskTests.java",0.0
5,5214,"buildSrc/src/test/java/org/elasticsearch/gradle/internal/precommit/ForbiddenPatternsTaskTests.java",0.0
9,5050,"buildSrc/src/test/java/org/elasticsearch/gradle/internal/precommit/UpdateShasTaskTests.java",0.0
10,1819,"buildSrc/src/test/java/org/elasticsearch/gradle/plugin/PluginPropertiesExtensionTests.java",0.0
4,1130,"buildSrc/src/test/resources/ca.p12",0.0
4,1414,"buildSrc/src/test/resources/ca.pem",0.0
18,772,"buildSrc/src/testKit/elasticsearch-build-resources/build.gradle",0.0
3,579,"buildSrc/src/testKit/elasticsearch-build-resources/gradle.properties",0.0
45,1998,"buildSrc/src/testKit/elasticsearch.build/build.gradle",0.1
3,579,"buildSrc/src/testKit/elasticsearch.build/gradle.properties",0.0
5,413,"buildSrc/src/testKit/elasticsearch.build/libs/elasticsearch-core/build.gradle",0.0
6,1345,"buildSrc/src/testKit/elasticsearch.build/licenses/hamcrest-core-LICENSE.txt",0.0
6,1345,"buildSrc/src/testKit/elasticsearch.build/licenses/junit-LICENSE.txt",0.0
4,63,"buildSrc/src/testKit/elasticsearch.build/settings.gradle",0.0
5,449,"buildSrc/src/testKit/elasticsearch.build/src/main/java/org/elasticsearch/SampleClass.java",0.0
5,414,"buildSrc/src/testKit/elasticsearch.build/test/logger-usage/build.gradle",0.0
10,430,"buildSrc/src/testKit/reaper/build.gradle",0.0
3,579,"buildSrc/src/testKit/reaper/gradle.properties",0.0
11,1751,"buildSrc/src/testKit/symbolic-link-preserving-tar/build.gradle",0.0
6,434,"buildSrc/src/testKit/testingConventions/all_classes_in_tasks/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionIT.java",0.0
3,437,"buildSrc/src/testKit/testingConventions/all_classes_in_tasks/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionTests.java",0.0
23,1431,"buildSrc/src/testKit/testingConventions/build.gradle",0.0
6,536,"buildSrc/src/testKit/testingConventions/incorrect_naming_conventions/src/test/java/org/elasticsearch/gradle/testkit/LooksLikeATestWithoutNamingConvention1.java",0.0
3,495,"buildSrc/src/testKit/testingConventions/incorrect_naming_conventions/src/test/java/org/elasticsearch/gradle/testkit/LooksLikeATestWithoutNamingConvention2.java",0.0
6,493,"buildSrc/src/testKit/testingConventions/incorrect_naming_conventions/src/test/java/org/elasticsearch/gradle/testkit/LooksLikeATestWithoutNamingConvention3.java",0.0
6,489,"buildSrc/src/testKit/testingConventions/incorrect_naming_conventions/src/test/java/org/elasticsearch/gradle/testkit/LooksLikeTestsButAbstract.java",0.0
6,434,"buildSrc/src/testKit/testingConventions/incorrect_naming_conventions/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionIT.java",0.0
6,437,"buildSrc/src/testKit/testingConventions/incorrect_naming_conventions/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionTests.java",0.0
3,1120,"buildSrc/src/testKit/testingConventions/no_tests_in_inner_classes/src/test/java/org/elasticsearch/gradle/testkit/NastyInnerClasses.java",0.0
3,435,"buildSrc/src/testKit/testingConventions/not_implementing_base/src/test/java/org/elasticsearch/gradle/testkit/AbstractIT.java",0.0
6,427,"buildSrc/src/testKit/testingConventions/not_implementing_base/src/test/java/org/elasticsearch/gradle/testkit/Integration.java",0.0
6,434,"buildSrc/src/testKit/testingConventions/not_implementing_base/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionIT.java",0.0
3,456,"buildSrc/src/testKit/testingConventions/not_implementing_base/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionMissmatchIT.java",0.0
3,466,"buildSrc/src/testKit/testingConventions/not_implementing_base/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionMissmatchTests.java",0.0
3,437,"buildSrc/src/testKit/testingConventions/not_implementing_base/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionTests.java",0.0
3,420,"buildSrc/src/testKit/testingConventions/not_implementing_base/src/test/java/org/elasticsearch/gradle/testkit/Unit.java",0.0
4,249,"buildSrc/src/testKit/testingConventions/settings.gradle",0.0
6,434,"buildSrc/src/testKit/testingConventions/tests_in_main/src/main/java/org/elasticsearch/gradle/testkit/NamingConventionIT.java",0.0
3,437,"buildSrc/src/testKit/testingConventions/tests_in_main/src/main/java/org/elasticsearch/gradle/testkit/NamingConventionTests.java",0.0
6,434,"buildSrc/src/testKit/testingConventions/valid_setup_no_base/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionIT.java",0.0
3,437,"buildSrc/src/testKit/testingConventions/valid_setup_no_base/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionTests.java",0.0
3,427,"buildSrc/src/testKit/testingConventions/valid_setup_with_base/src/test/java/org/elasticsearch/gradle/testkit/Integration.java",0.0
3,454,"buildSrc/src/testKit/testingConventions/valid_setup_with_base/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionIT.java",0.0
3,450,"buildSrc/src/testKit/testingConventions/valid_setup_with_base/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionTests.java",0.0
3,420,"buildSrc/src/testKit/testingConventions/valid_setup_with_base/src/test/java/org/elasticsearch/gradle/testkit/Unit.java",0.0
29,1593,"buildSrc/src/testKit/thirdPartyAudit/build.gradle",0.0
3,579,"buildSrc/src/testKit/thirdPartyAudit/gradle.properties",0.0
15,1333,"buildSrc/src/testKit/thirdPartyAudit/sample_jars/build.gradle",0.0
5,105,"buildSrc/src/testKit/thirdPartyAudit/sample_jars/src/main/java/TestingIO.java",0.0
651,1420,"buildSrc/version.properties",0.6
51,1209,"client/benchmark/build.gradle",0.0
10,6637,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/AbstractBenchmark.java",0.0
6,1127,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/BenchmarkMain.java",0.0
5,3470,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/BenchmarkRunner.java",0.0
4,638,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/BenchmarkTask.java",0.0
5,2127,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/metrics/Metrics.java",0.0
9,4116,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/metrics/MetricsCalculator.java",0.0
5,1448,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/metrics/Sample.java",0.0
5,924,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/metrics/SampleRecorder.java",0.0
12,7024,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/ops/bulk/BulkBenchmarkTask.java",0.1
4,519,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/ops/bulk/BulkRequestExecutor.java",0.0
6,2565,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/ops/search/SearchBenchmarkTask.java",0.0
4,488,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/ops/search/SearchRequestExecutor.java",0.0
17,4147,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/rest/RestClientBenchmark.java",0.0
3,265,"client/benchmark/src/main/resources/log4j2.properties",0.0
37,928,"client/client-benchmark-noop-api-plugin/build.gradle",0.0
12,2401,"client/client-benchmark-noop-api-plugin/src/main/java/org/elasticsearch/plugin/noop/NoopPlugin.java",0.0
12,780,"client/client-benchmark-noop-api-plugin/src/main/java/org/elasticsearch/plugin/noop/action/bulk/NoopBulkAction.java",0.0
40,4425,"client/client-benchmark-noop-api-plugin/src/main/java/org/elasticsearch/plugin/noop/action/bulk/RestNoopBulkAction.java",0.1
23,2113,"client/client-benchmark-noop-api-plugin/src/main/java/org/elasticsearch/plugin/noop/action/bulk/TransportNoopBulkAction.java",0.0
14,798,"client/client-benchmark-noop-api-plugin/src/main/java/org/elasticsearch/plugin/noop/action/search/NoopSearchAction.java",0.0
16,1554,"client/client-benchmark-noop-api-plugin/src/main/java/org/elasticsearch/plugin/noop/action/search/RestNoopSearchAction.java",0.0
21,2281,"client/client-benchmark-noop-api-plugin/src/main/java/org/elasticsearch/plugin/noop/action/search/TransportNoopSearchAction.java",0.0
162,5795,"client/rest-high-level/build.gradle",0.6
7,5994,"client/rest-high-level/src/main/java/org/elasticsearch/client/AsyncSearchClient.java",0.0
13,4614,"client/rest-high-level/src/main/java/org/elasticsearch/client/AsyncSearchRequestConverters.java",0.0
33,27947,"client/rest-high-level/src/main/java/org/elasticsearch/client/CcrClient.java",0.6
33,7077,"client/rest-high-level/src/main/java/org/elasticsearch/client/CcrRequestConverters.java",0.1
36,17003,"client/rest-high-level/src/main/java/org/elasticsearch/client/ClusterClient.java",0.4
15,7028,"client/rest-high-level/src/main/java/org/elasticsearch/client/ClusterRequestConverters.java",0.1
18,11515,"client/rest-high-level/src/main/java/org/elasticsearch/client/EnrichClient.java",0.1
13,3100,"client/rest-high-level/src/main/java/org/elasticsearch/client/EnrichRequestConverters.java",0.0
7,4739,"client/rest-high-level/src/main/java/org/elasticsearch/client/EqlClient.java",0.0
7,1721,"client/rest-high-level/src/main/java/org/elasticsearch/client/EqlRequestConverters.java",0.0
5,5335,"client/rest-high-level/src/main/java/org/elasticsearch/client/FeaturesClient.java",0.0
5,1307,"client/rest-high-level/src/main/java/org/elasticsearch/client/FeaturesRequestConverters.java",0.0
11,7215,"client/rest-high-level/src/main/java/org/elasticsearch/client/GetAliasesResponse.java",0.1
13,2223,"client/rest-high-level/src/main/java/org/elasticsearch/client/GraphClient.java",0.0
11,1009,"client/rest-high-level/src/main/java/org/elasticsearch/client/GraphRequestConverters.java",0.0
58,36950,"client/rest-high-level/src/main/java/org/elasticsearch/client/IndexLifecycleClient.java",1.4
26,14173,"client/rest-high-level/src/main/java/org/elasticsearch/client/IndexLifecycleRequestConverters.java",0.2
136,87672,"client/rest-high-level/src/main/java/org/elasticsearch/client/IndicesClient.java",7.6
86,34907,"client/rest-high-level/src/main/java/org/elasticsearch/client/IndicesRequestConverters.java",1.9
22,9223,"client/rest-high-level/src/main/java/org/elasticsearch/client/IngestClient.java",0.1
13,4074,"client/rest-high-level/src/main/java/org/elasticsearch/client/IngestRequestConverters.java",0.0
26,12141,"client/rest-high-level/src/main/java/org/elasticsearch/client/LicenseClient.java",0.2
18,4337,"client/rest-high-level/src/main/java/org/elasticsearch/client/LicenseRequestConverters.java",0.0
157,46165,"client/rest-high-level/src/main/java/org/elasticsearch/client/MLRequestConverters.java",4.6
...
